Age,lx,qx,Lx,ex
0,100000,0.00236,99789,84.97537
1,99764,0.0002,99753,84.17654
2,99744,0.00011,99738,83.19307
3,99733,0.00009,99729,82.20188
4,99724,0.00007,99721,81.20915
5,99717,0.00006,99714,80.21517
6,99711,0.00006,99708,79.22022
7,99705,0.00005,99703,78.22457
8,99700,0.00005,99698,77.22852
9,99695,0.00005,99693,76.23235
10,99690,0.00005,99687,75.23621
11,99685,0.00006,99682,74.24014
12,99679,0.00007,99675,73.24447
13,99672,0.00009,99667,72.24966
14,99663,0.00011,99657,71.25616
15,99651,0.00014,99645,70.26424
16,99637,0.00016,99629,69.27407
17,99621,0.00018,99612,68.28542
18,99603,0.00019,99593,67.29775
19,99583,0.0002,99574,66.31065
20,99564,0.0002,99554,65.32369
21,99544,0.00019,99534,64.33651
22,99525,0.00019,99515,63.34892
23,99505,0.0002,99496,62.36112
24,99486,0.0002,99476,61.37319
25,99466,0.00021,99456,60.3853
26,99446,0.00022,99435,59.39776
27,99424,0.00022,99413,58.41054
28,99402,0.00023,99390,57.42353
29,99378,0.00025,99366,56.43689
30,99353,0.00028,99340,55.45107
31,99325,0.00031,99310,54.4664
32,99294,0.00035,99278,53.48323
33,99260,0.00039,99241,52.50164
34,99221,0.00044,99200,51.52183
35,99178,0.00048,99155,50.54405
36,99131,0.00051,99106,49.56798
37,99080,0.00055,99053,48.59315
38,99025,0.0006,98996,47.61964
39,98966,0.00065,98935,46.6477
40,98902,0.00071,98868,45.67758
41,98832,0.00078,98795,44.7096
42,98756,0.00086,98714,43.74397
43,98671,0.00094,98625,42.781
44,98578,0.00103,98528,41.8208
45,98477,0.00111,98423,40.86334
46,98367,0.0012,98309,39.90833
47,98249,0.0013,98186,38.95567
48,98122,0.00141,98053,38.00564
49,97983,0.00154,97909,37.05871
50,97832,0.00168,97751,36.11502
51,97668,0.00183,97580,35.17482
52,97490,0.00198,97395,34.23826
53,97297,0.00214,97194,33.30522
54,97088,0.00231,96977,32.37568
55,96863,0.0025,96744,31.44962
56,96622,0.00269,96493,30.52705
57,96362,0.00291,96223,29.60806
58,96081,0.00315,95932,28.69294
59,95778,0.00341,95617,27.7821
60,95452,0.00367,95279,26.87538
61,95101,0.00395,94916,25.97265
62,94726,0.00425,94527,25.07352
63,94323,0.0046,94109,24.17838
64,93890,0.00502,93658,23.28772
65,93419,0.00552,93165,22.40257
66,92903,0.00613,92623,21.52419
67,92333,0.00684,92023,20.6539
68,91702,0.00761,91359,19.79257
69,91004,0.00845,90626,18.9404
70,90235,0.00941,89817,18.09753
71,89386,0.01048,88925,17.26454
72,88449,0.01172,87939,16.44207
73,87412,0.01316,86847,15.63109
74,86261,0.0148,85634,14.8328
75,84984,0.01668,84288,14.04802
76,83567,0.01884,82794,13.27769
77,81992,0.02135,81134,12.52286
78,80242,0.02427,79287,11.78491
79,78294,0.02765,77232,11.06541
80,76130,0.0316,74950,10.36555
81,73724,0.03621,72415,9.68713
82,71054,0.04159,69604,9.03198
83,68099,0.04778,66501,8.40186
84,64845,0.0549,63095,7.79793
85,61285,0.06297,59384,7.22142
86,57426,0.07201,55386,6.67258
87,53291,0.08226,51125,6.15101
88,48907,0.09385,46635,5.65699
89,44317,0.10751,41972,5.19059
90,39553,0.12865,37032,4.75468
91,34464,0.14528,31954,4.38218
92,29457,0.16299,27041,4.04226
93,24656,0.18179,22389,3.73267
94,20174,0.20164,18095,3.45221
95,16106,0.21763,14311,3.20063
96,12601,0.24316,11024,2.95519
97,9537,0.26438,8222,2.74863
98,7016,0.2852,5967,2.56454
99,5015,0.31078,4185,2.39791
100,3456,0.32458,7840,2.26827